Estate,Latitude,Longitude
Achabam,27.244167,95.259444
Azizbagh,27.211528,95.12
Balijan,27.388056,95.2525
Balijan north,27.53625,95.16125
Basmatia,27.36625,95.070833
Baughpara,27.443611,94.940556
Belbari,27.347917,95.110833
Bijlibari,27.38125,95.318056
Borbari,27.504722,95.192917
Chubwa,27.459167,95.172778
Desam,27.255972,95.255139
Dikom,27.440417,95.099583
Dilli,27.161528,95.366944
Dinjan,27.547778,95.276528
Dinjoye,27.498611,95.180139
Dirai,27.181667,95.036806
Dirial,27.385278,95.283472
Duliabam,27.272361,94.921944
Durgapur,27.389306,94.869722
Ethelwold,27.495139,94.948194
Ghograjan,27.394861,95.027083
Ghooronia,27.355556,94.870972
Goneshbari,27.483194,95.054028
Greenwood,27.507778,95.031528
Hattialli,27.444444,95.122917
Hazelbank,27.496944,95.083611
Jamirah,27.412778,94.853194
Joonkotolee,27.144167,95.075694
Jutlibari,27.39375,95.367222
Kamakhyabari,27.508472,95.051111
Kenduguri,27.217778,95.075694
Kharjan,27.520833,95.218194
Korangani,27.177083,95.132917
Lepetkatta,27.354722,94.867222
Madhuting,27.360694,95.415833
Mahabirbari,27.51,95.181528
Mahadeobari,27.391806,95.315972
Maijan,27.506667,94.985278
Manabarie,27.501111,95.113056
Mancotta,27.434861,94.911806
Maud,27.440139,95.229861
Mokalbari,27.511944,95.071389
